clip,onset,apex,offset,aus,emotion,objective_class,subject,durasi_frame,durasi_ms,apex_relatif,dipakai_5kelas,n_file,frame_min,frame_max,n_lompatan
EP02_01f,46,59.0,86,12,happiness,1,sub01,41,205.0,0.325,True,41,46,86,0
EP03_02,131,139.0,161,18,others,7,sub01,31,155.0,0.26666666666666666,True,31,131,161,0
EP04_02,21,54.0,76,4,others,3,sub01,56,280.0,0.6,True,56,21,76,0
EP04_03,31,41.0,56,4,others,3,sub01,26,130.0,0.4,True,26,31,56,0
EP04_04,23,49.0,66,4,others,3,sub01,44,220.0,0.6046511627906976,True,44,23,66,0
EP19_01,26,49.0,66,4,others,3,sub01,41,205.0,0.575,True,41,26,66,0
EP19_03f,81,96.0,161,4,others,3,sub01,81,405.0,0.1875,True,81,81,161,0
EP19_05f,396,416.0,446,4+L10,disgust,4,sub01,51,255.0,0.4,True,51,396,446,0
EP19_06f,36,71.0,161,4+5+L10,disgust,4,sub01,126,630.0,0.28,True,126,36,161,0
EP01_11f,46,91.0,96,15,repression,5,sub02,51,255.0,0.9,True,51,46,96,0
EP02_04f,31,79.0,141,12+15,repression,7,sub02,111,555.0,0.43636363636363634,True,111,31,141,0
EP03_02f,16,81.0,136,15,repression,5,sub02,121,605.0,0.5416666666666666,True,121,16,136,0
EP06_01f,56,121.0,155,14,repression,7,sub02,100,500.0,0.6565656565656566,True,100,56,155,0
EP06_02f,36,64.0,111,14,repression,7,sub02,76,380.0,0.37333333333333335,True,76,36,111,0
EP08_04,16,69.0,106,14,others,7,sub02,91,455.0,0.5888888888888889,True,91,16,106,0
EP09_01,26,56.0,125,1+12,happiness,7,sub02,100,500.0,0.30303030303030304,True,100,26,125,0
EP09_06f,11,49.0,151,4,others,3,sub02,141,705.0,0.2714285714285714,True,141,11,151,0
EP09_10,26,36.0,66,17,others,7,sub02,41,205.0,0.25,True,41,26,66,0
EP11_01,16,69.0,106,1+L2,surprise,2,sub02,91,455.0,0.5888888888888889,True,91,16,106,0
EP13_04,21,51.0,76,1,surprise,5,sub02,56,280.0,0.5454545454545454,True,56,21,76,0
EP14_01,81,114.0,126,1+L2,surprise,2,sub02,46,230.0,0.7333333333333333,True,46,81,126,0
EP15_04,26,66.0,96,17,others,7,sub02,71,355.0,0.5714285714285714,True,71,26,96,0
EP01_2,51,69.0,91,1,surprise,5,sub03,41,205.0,0.45,True,41,51,91,0
EP07_03,16,46.0,76,4,others,3,sub03,61,305.0,0.5,True,61,16,76,0
EP07_04,21,81.0,106,4+L10,disgust,4,sub03,86,430.0,0.7058823529411765,True,86,21,106,0
EP08_1,11,44.0,91,4,others,3,sub03,81,405.0,0.4125,True,81,11,91,0
