fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,461.3
1,2,13,0.5384615384615384,456.3
2,3,7,0.42857142857142855,463.0
3,4,5,0.6,466.6
4,5,19,0.47368421052631576,452.5
5,6,5,0.8,467.0
6,7,9,0.5555555555555556,462.3
7,8,3,0.6666666666666666,472.2
8,9,13,0.6153846153846154,458.9
9,10,13,0.5384615384615384,457.9
10,11,10,0.6,461.8
11,12,12,0.9166666666666666,459.5
12,13,8,0.875,462.7
13,14,4,0.5,482.1
14,15,3,0.6666666666666666,482.8
15,16,4,0.75,467.4
16,17,34,0.47058823529411764,448.3
17,18,3,1.0,482.5
18,19,15,0.8666666666666667,468.7
19,20,11,0.45454545454545453,458.3
20,21,2,0.5,469.3
21,22,2,1.0,469.2
22,23,12,1.0,457.7
23,24,7,0.7142857142857143,464.4
24,25,7,0.42857142857142855,464.3
25,26,16,0.5,452.9
