=== PROTOCOL V2 iter_106_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5 ===
time: 2026-08-07T02:47:12.051284 | role: dev
device: cuda (NVIDIA GeForce RTX 3060)
platform: Windows-10-10.0.26200-SP0 | torch 2.6.0+cu124
loading 246 cached arrays
segmentation attention: 6 region per sampel dari regionmask144 (mode=static)
fixed split loaded: 21 development subjects, 5 sealed audit subjects
!! LOSO over ALL 26 subjects -- AUDIT SEAL BROKEN. This number is comparable to published LOSO results, and the audit split can no longer serve as an untouched final check.
fold 1/26: 25 train subjects / 1 validation subjects; 237 train / 9 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=173 n_check=64
      [probe] ep00 train_loss=1.6949 train_acc=0.272 check=-1.6104 best=-1.6104@ep00
      [probe] ep01 train_loss=1.6074 train_acc=0.364 check=-1.3348 best=-1.3348@ep01
      [probe] ep02 train_loss=1.4369 train_acc=0.491 check=-1.2803 best=-1.2803@ep02
      [probe] ep03 train_loss=1.4711 train_acc=0.387 check=-1.1648 best=-1.1648@ep03
      [probe] ep04 train_loss=1.4118 train_acc=0.474 check=-1.1242 best=-1.1242@ep04
      [probe] ep05 train_loss=1.3887 train_acc=0.434 check=-1.1995 best=-1.1242@ep04
      [probe] ep06 train_loss=1.3373 train_acc=0.509 check=-1.1512 best=-1.1242@ep04
      [probe] ep07 train_loss=1.3405 train_acc=0.468 check=-1.1859 best=-1.1242@ep04
      [probe] ep08 train_loss=1.3928 train_acc=0.422 check=-1.1397 best=-1.1242@ep04
      [probe] ep09 train_loss=1.2293 train_acc=0.549 check=-1.0844 best=-1.0844@ep09
      [probe] ep10 train_loss=1.3729 train_acc=0.532 check=-1.0935 best=-1.0844@ep09
      [probe] ep11 train_loss=1.2632 train_acc=0.618 check=-0.9306 best=-0.9306@ep11
      [probe] ep12 train_loss=1.2317 train_acc=0.601 check=-1.1482 best=-0.9306@ep11
      [probe] ep13 train_loss=1.1469 train_acc=0.590 check=-0.9655 best=-0.9306@ep11
      [probe] ep14 train_loss=1.1026 train_acc=0.578 check=-1.1343 best=-0.9306@ep11
      [probe] ep15 train_loss=1.1150 train_acc=0.682 check=-1.1608 best=-0.9306@ep11
      [probe] ep16 train_loss=1.0494 train_acc=0.665 check=-1.0246 best=-0.9306@ep11
      [probe] ep17 train_loss=1.1432 train_acc=0.624 check=-0.9021 best=-0.9021@ep17
      [probe] ep18 train_loss=1.0430 train_acc=0.676 check=-0.8922 best=-0.8922@ep18
