fold,subject,n_test,acc,sec
0,1,9,0.1111111111111111,231.1
1,2,13,0.3076923076923077,229.6
2,3,7,0.0,231.1
3,4,5,0.0,232.5
4,5,19,0.15789473684210525,227.3
5,6,5,0.0,231.6
6,7,9,0.0,230.0
7,8,3,0.0,231.6
8,9,14,0.14285714285714285,228.2
9,10,14,0.0,227.9
10,11,10,0.0,228.8
11,12,12,0.4166666666666667,228.3
12,13,8,0.125,229.0
13,14,4,0.0,231.2
14,15,3,0.3333333333333333,231.1
15,16,4,0.0,230.8
16,17,36,0.08333333333333333,220.4
17,18,3,0.0,231.5
18,19,16,0.1875,236.9
19,20,11,0.0,234.3
20,21,2,0.0,248.9
21,22,2,0.0,247.8
22,23,12,0.16666666666666666,243.1
23,24,10,0.1,233.8
24,25,7,0.0,231.2
25,26,17,0.058823529411764705,232.5
