fold,subject,n_test,acc,sec
0,1,9,1.0,316.5
1,2,13,0.6153846153846154,312.0
2,3,7,0.42857142857142855,309.8
3,4,5,1.0,316.9
4,5,19,0.5263157894736842,302.5
5,6,5,0.6,307.8
6,7,9,0.7777777777777778,307.0
7,8,3,0.6666666666666666,307.8
8,9,13,0.8461538461538461,304.4
9,10,13,0.8461538461538461,304.4
10,11,10,1.0,306.6
11,12,12,0.8333333333333334,304.5
12,13,8,0.875,305.5
13,14,4,0.5,308.2
14,15,3,0.6666666666666666,307.8
15,16,4,0.25,307.4
16,17,34,0.4411764705882353,296.9
17,18,3,1.0,307.9
18,19,15,0.7333333333333333,302.8
19,20,11,0.6363636363636364,305.2
20,21,2,0.5,309.1
21,22,2,1.0,308.3
22,23,12,0.9166666666666666,303.9
23,24,7,0.42857142857142855,305.5
24,25,7,0.5714285714285714,305.2
25,26,16,0.4375,302.7
