fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,312.5
1,2,13,0.6923076923076923,299.0
2,3,7,0.7142857142857143,296.0
3,4,5,0.6,298.1
4,5,19,0.47368421052631576,300.0
5,6,5,0.6,305.5
6,7,9,0.5555555555555556,314.9
7,8,3,0.6666666666666666,297.4
8,9,13,0.8461538461538461,297.5
9,10,13,1.0,304.8
10,11,10,1.0,306.7
11,12,12,0.9166666666666666,291.6
12,13,8,0.875,303.5
13,14,4,0.5,402.5
14,15,3,0.6666666666666666,310.0
15,16,4,0.5,264.8
16,17,34,0.5588235294117647,267.7
17,18,3,0.6666666666666666,258.8
18,19,15,0.7333333333333333,257.5
19,20,11,0.5454545454545454,249.8
20,21,2,0.5,243.9
21,22,2,1.0,247.7
22,23,12,1.0,246.2
23,24,7,0.7142857142857143,243.8
24,25,7,0.5714285714285714,252.6
25,26,16,0.375,255.2
