fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,231.9
1,2,13,0.46153846153846156,226.3
2,3,7,0.7142857142857143,278.6
3,4,5,0.6,233.4
4,5,19,0.47368421052631576,226.7
5,6,5,0.8,229.2
6,7,9,0.5555555555555556,229.0
7,8,3,0.6666666666666666,228.9
8,9,13,0.7692307692307693,228.1
9,10,13,0.9230769230769231,227.5
10,11,10,0.9,228.4
11,12,12,0.9166666666666666,227.5
12,13,8,0.875,234.3
13,14,4,0.0,228.6
14,15,3,0.6666666666666666,229.5
15,16,4,0.5,229.8
16,17,34,0.5588235294117647,225.1
17,18,3,0.6666666666666666,226.9
18,19,15,0.5333333333333333,226.9
19,20,11,0.6363636363636364,226.4
20,21,2,0.5,229.5
21,22,2,1.0,229.4
22,23,12,0.8333333333333334,228.9
23,24,7,0.7142857142857143,228.8
24,25,7,0.5714285714285714,228.0
25,26,16,0.4375,228.0
