fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,297.0
1,2,13,0.46153846153846156,300.1
2,3,7,0.42857142857142855,298.2
3,4,5,1.0,315.8
4,5,19,0.47368421052631576,321.2
5,6,5,0.6,303.4
6,7,9,0.6666666666666666,304.8
7,8,3,0.6666666666666666,291.3
8,9,13,0.6153846153846154,288.3
9,10,13,0.8461538461538461,286.2
10,11,10,0.9,299.3
11,12,12,0.75,282.5
12,13,8,0.875,268.5
13,14,4,0.75,277.8
14,15,3,0.6666666666666666,276.3
15,16,4,0.5,274.6
16,17,34,0.6176470588235294,270.1
17,18,3,1.0,275.5
18,19,15,0.6,275.9
19,20,11,0.6363636363636364,265.3
20,21,2,0.5,269.1
21,22,2,1.0,268.1
22,23,12,1.0,265.8
23,24,7,0.7142857142857143,267.1
24,25,7,0.7142857142857143,266.9
25,26,16,0.5,240.3
