fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,240.3
1,2,13,0.46153846153846156,232.6
2,3,7,0.8571428571428571,233.7
3,4,5,0.8,234.2
4,5,19,0.47368421052631576,231.4
5,6,5,0.6,233.4
6,7,9,0.6666666666666666,232.9
7,8,3,0.6666666666666666,232.4
8,9,13,0.6923076923076923,233.6
9,10,13,1.0,232.2
10,11,10,0.9,232.6
11,12,12,0.9166666666666666,232.2
12,13,8,0.625,232.9
13,14,4,0.5,233.6
14,15,3,0.6666666666666666,233.5
15,16,4,0.5,234.1
16,17,34,0.5882352941176471,231.3
17,18,3,0.6666666666666666,240.5
18,19,15,0.7333333333333333,253.8
19,20,11,0.6363636363636364,243.1
20,21,2,0.5,245.3
21,22,2,1.0,252.0
22,23,12,0.8333333333333334,254.2
23,24,7,0.7142857142857143,232.8
24,25,7,0.7142857142857143,236.1
25,26,16,0.5,244.3
