fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,242.2
1,2,13,0.46153846153846156,227.1
2,3,7,0.7142857142857143,229.4
3,4,5,0.8,229.4
4,5,19,0.42105263157894735,226.3
5,6,5,0.6,228.3
6,7,9,0.5555555555555556,229.2
7,8,3,0.6666666666666666,229.6
8,9,13,0.8461538461538461,230.2
9,10,13,0.9230769230769231,229.1
10,11,10,0.9,227.2
11,12,12,0.9166666666666666,227.5
12,13,8,0.75,227.7
13,14,4,0.5,228.0
14,15,3,1.0,234.4
15,16,4,0.5,236.5
16,17,34,0.6764705882352942,242.4
17,18,3,0.6666666666666666,245.1
18,19,15,0.7333333333333333,247.4
19,20,11,0.5454545454545454,236.5
20,21,2,0.5,235.0
21,22,2,1.0,243.0
22,23,12,1.0,241.8
23,24,7,0.7142857142857143,242.4
24,25,7,0.5714285714285714,236.2
25,26,16,0.375,238.6
