fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,256.0
1,2,13,0.3076923076923077,243.1
2,3,7,0.2857142857142857,238.8
3,4,5,0.8,241.4
4,5,19,0.42105263157894735,240.3
5,6,5,0.8,239.7
6,7,9,0.5555555555555556,240.3
7,8,3,0.3333333333333333,240.7
8,9,13,0.9230769230769231,241.1
9,10,13,0.8461538461538461,242.0
10,11,10,0.7,241.0
11,12,12,0.8333333333333334,239.9
12,13,8,0.75,241.0
13,14,4,0.25,241.5
14,15,3,0.6666666666666666,239.9
15,16,4,0.25,240.9
16,17,34,0.5,243.3
17,18,3,0.3333333333333333,239.2
18,19,15,0.5333333333333333,240.5
19,20,11,0.5454545454545454,241.2
20,21,2,0.5,238.1
21,22,2,1.0,239.2
22,23,12,0.75,239.2
23,24,7,0.5714285714285714,238.4
24,25,7,0.42857142857142855,239.4
25,26,16,0.3125,239.5
