fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,231.4
1,2,13,0.5384615384615384,232.3
2,3,7,0.42857142857142855,225.9
3,4,5,0.8,225.5
4,5,19,0.42105263157894735,226.1
5,6,5,0.6,230.5
6,7,9,0.5555555555555556,225.9
7,8,3,0.6666666666666666,231.1
8,9,13,0.8461538461538461,233.4
9,10,13,0.6923076923076923,230.4
10,11,10,1.0,232.2
11,12,12,0.9166666666666666,235.0
12,13,8,0.75,234.4
13,14,4,0.5,235.4
14,15,3,1.0,234.4
15,16,4,0.5,234.2
16,17,34,0.6470588235294118,234.2
17,18,3,0.3333333333333333,233.3
18,19,15,0.7333333333333333,234.6
19,20,11,0.45454545454545453,234.5
20,21,2,0.5,234.3
21,22,2,1.0,234.8
22,23,12,1.0,234.2
23,24,7,0.7142857142857143,233.9
24,25,7,0.42857142857142855,234.9
25,26,16,0.4375,234.8
