fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,231.9
1,2,13,0.46153846153846156,235.3
2,3,7,0.5714285714285714,237.4
3,4,5,0.6,236.6
4,5,19,0.21052631578947367,235.1
5,6,5,0.8,236.6
6,7,9,0.2222222222222222,234.6
7,8,3,0.0,234.8
8,9,13,0.46153846153846156,235.2
9,10,13,0.46153846153846156,235.5
10,11,10,0.6,237.0
11,12,12,0.75,236.2
12,13,8,0.25,238.0
13,14,4,0.75,237.3
14,15,3,1.0,236.1
15,16,4,0.5,236.5
16,17,34,0.5294117647058824,233.4
17,18,3,0.6666666666666666,237.3
18,19,15,0.7333333333333333,235.5
19,20,11,0.45454545454545453,236.8
20,21,2,0.0,238.8
21,22,2,1.0,237.2
22,23,12,0.75,236.7
23,24,7,0.42857142857142855,240.4
24,25,7,0.5714285714285714,235.9
25,26,16,0.5625,235.8
