fold,subject,n_test,acc,sec
0,1,9,0.5555555555555556,2418.1
1,2,13,0.38461538461538464,2390.5
2,3,7,0.0,2422.8
3,4,5,1.0,2437.2
4,5,19,0.5263157894736842,2357.5
5,6,5,0.4,2434.8
6,7,9,0.4444444444444444,2411.1
7,8,3,0.6666666666666666,2444.4
8,9,13,0.07692307692307693,2387.2
9,10,13,0.0,2387.0
10,11,10,0.6,2404.4
11,12,12,0.4166666666666667,2395.1
12,13,8,0.375,2457.5
13,14,4,0.0,2568.7
14,15,3,0.0,2604.7
15,16,4,0.5,2536.3
16,17,34,0.29411764705882354,2286.6
17,18,3,0.6666666666666666,2463.1
18,19,15,0.3333333333333333,2397.3
19,20,11,0.18181818181818182,2422.0
20,21,2,0.0,2473.6
21,22,2,0.0,2473.8
22,23,12,0.3333333333333333,2417.8
23,24,7,0.5714285714285714,2446.3
24,25,7,0.2857142857142857,2445.5
25,26,16,0.5625,2393.5
