fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,2479.4
1,2,13,0.5384615384615384,2457.1
2,3,7,0.42857142857142855,2485.6
3,4,5,0.6,2495.5
4,5,19,0.42105263157894735,2420.0
5,6,5,0.6,2500.6
6,7,9,0.4444444444444444,2472.0
7,8,3,0.3333333333333333,2506.3
8,9,13,0.46153846153846156,2450.8
9,10,13,0.7692307692307693,2451.3
10,11,10,0.6,2464.0
11,12,12,0.5,2452.0
12,13,8,0.75,2474.1
13,14,4,0.25,2495.4
14,15,3,0.6666666666666666,2498.9
15,16,4,0.25,2494.5
16,17,34,0.2647058823529412,2331.0
17,18,3,0.6666666666666666,2495.6
18,19,15,0.6,2430.7
19,20,11,0.6363636363636364,2457.2
20,21,2,0.5,2506.2
21,22,2,0.5,2507.2
22,23,12,0.5833333333333334,2455.0
23,24,7,0.7142857142857143,2484.6
24,25,7,0.42857142857142855,2487.0
25,26,16,0.25,2438.5
