fold,subject,n_test,acc,sec
0,1,9,0.3333333333333333,190.5
1,2,13,0.3076923076923077,188.3
2,3,7,0.14285714285714285,189.1
3,4,5,0.6,188.9
4,5,19,0.42105263157894735,188.5
5,6,5,0.4,188.4
6,7,9,0.4444444444444444,188.6
7,8,3,0.3333333333333333,189.4
8,9,13,0.6923076923076923,188.5
9,10,13,0.8461538461538461,187.4
10,11,10,0.4,188.6
11,12,12,0.5,187.2
12,13,8,0.375,188.8
13,14,4,0.5,187.8
14,15,3,0.3333333333333333,188.9
15,16,4,0.75,187.3
16,17,34,0.35294117647058826,187.6
17,18,3,0.3333333333333333,187.6
18,19,15,0.2,187.6
19,20,11,0.18181818181818182,187.9
20,21,2,0.0,187.7
21,22,2,1.0,190.3
22,23,12,0.5833333333333334,186.6
23,24,7,0.7142857142857143,187.5
24,25,7,0.5714285714285714,187.3
25,26,16,0.5625,187.5
