fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,259.1
1,2,13,0.38461538461538464,261.1
2,3,7,0.42857142857142855,247.1
3,4,5,0.6,244.8
4,5,19,0.5263157894736842,244.1
5,6,5,0.6,248.0
6,7,9,0.5555555555555556,243.8
7,8,3,0.3333333333333333,243.5
8,9,13,0.6153846153846154,244.6
9,10,13,0.9230769230769231,245.9
10,11,10,0.7,247.1
11,12,12,0.8333333333333334,246.4
12,13,8,0.5,243.1
13,14,4,0.5,255.3
14,15,3,1.0,248.8
15,16,4,0.5,260.1
16,17,34,0.5294117647058824,260.6
17,18,3,0.3333333333333333,258.2
18,19,15,0.4666666666666667,259.4
19,20,11,0.6363636363636364,242.9
20,21,2,0.5,242.9
21,22,2,1.0,244.8
22,23,12,0.5,242.8
23,24,7,0.7142857142857143,242.3
24,25,7,0.7142857142857143,244.6
25,26,16,0.5,247.6
