fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,239.9
1,2,13,0.6153846153846154,238.6
2,3,7,0.14285714285714285,239.4
3,4,5,0.4,239.7
4,5,19,0.5263157894736842,239.2
5,6,5,0.6,239.7
6,7,9,0.5555555555555556,238.7
7,8,3,0.6666666666666666,240.6
8,9,13,0.7692307692307693,239.9
9,10,14,0.9285714285714286,238.3
10,11,10,0.9,239.3
11,12,12,0.5833333333333334,239.3
12,13,8,0.875,239.4
13,14,4,0.75,239.4
14,15,3,1.0,239.3
15,16,4,0.5,239.2
16,17,36,0.7222222222222222,236.0
17,18,3,1.0,238.9
18,19,16,0.375,236.9
19,20,11,0.6363636363636364,238.2
20,21,2,0.5,238.6
21,22,2,1.0,239.3
22,23,12,0.8333333333333334,239.3
23,24,10,0.5,238.6
24,25,7,0.7142857142857143,239.3
25,26,17,0.7058823529411765,237.3
