fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,231.3
1,2,13,0.6153846153846154,230.5
2,3,7,0.5714285714285714,233.6
3,4,5,0.6,232.9
4,5,19,0.6842105263157895,230.7
5,6,5,0.4,232.9
6,7,9,0.4444444444444444,231.4
7,8,3,0.6666666666666666,232.0
8,9,13,0.7692307692307693,230.9
9,10,14,1.0,229.4
10,11,10,0.9,229.4
11,12,12,0.5833333333333334,228.9
12,13,8,0.75,228.9
13,14,4,0.75,229.5
14,15,3,0.3333333333333333,229.5
15,16,4,0.5,229.5
16,17,36,0.6944444444444444,226.6
17,18,3,1.0,229.6
18,19,16,0.4375,228.6
19,20,11,0.8181818181818182,230.7
20,21,2,0.5,230.9
21,22,2,1.0,231.7
22,23,12,0.6666666666666666,230.8
23,24,10,0.5,237.4
24,25,7,0.5714285714285714,232.2
25,26,17,0.8235294117647058,230.1
