run,stem,protocol,split,role,complete,UF1,UAR,ACC,n_folds,n_subjects,n_samples,backbone,input_mode,img_size,T,lr,seed,epochs,elapsed_sec,time
001_smoke_smoke,smoke,protocol_v1,2-fold,dev,True,0.1476190476190476,0.2333333333333333,0.13636363636363635,2,0,22,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,3.0,59.6,2026-07-13T17:30:20.512519
002_baseline_r2plus1d,baseline_r2plus1d,protocol_v1,LOSO 26,dev,True,0.30053960501339905,0.3374025974025974,0.32926829268292684,26,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,25.0,6153.1,2026-07-13T19:13:29.999199
003_onsetref_r2plus1d,onsetref_r2plus1d,protocol_v1,LOSO 26,dev,True,0.5939443348627278,0.6044181096681097,0.5691056910569106,26,0,246,r2plus1d_18,onset_ref,112.0,16.0,0.0001,42.0,22.0,6155.3,2026-07-13T20:57:37.747964
004_flow_r2plus1d,flow_r2plus1d,protocol_v1,LOSO 26,dev,True,0.6601323157584502,0.6753483645983647,0.6382113821138211,26,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,25.0,5550.3,2026-07-13T22:30:41.614667
005_smoke_2stream_smoke,twostream_flow_onsetref,protocol_v1,2-fold,dev,True,0.486031746031746,0.5399999999999999,0.45454545454545453,2,0,22,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,3.0,120.8,2026-07-13T22:36:28.156173
006_twostream_flow_onsetref,twostream_flow_onsetref,protocol_v1,LOSO 26,dev,True,0.6390097677769302,0.6586873496873495,0.6260162601626016,26,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,25.0,12071.4,2026-07-14T01:59:15.776057
007_flow_apex_tta,flow_apex_tta,protocol_v1,LOSO 26,dev,True,0.3580596229908273,0.3586706349206349,0.4349593495934959,26,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,25.0,5705.1,2026-07-14T03:37:30.074548
008_flow_tta_lastk,flow_tta_lastk,protocol_v1,LOSO 26,dev,True,0.33170881136222163,0.3421456228956229,0.4268292682926829,26,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,28.0,6525.4,2026-07-14T05:27:34.899109
009_smoke_tta_smoke,smoke_tta,protocol_v1,2-fold,dev,True,0.45809523809523817,0.62,0.45454545454545453,2,0,22,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,6.0,110.7,2026-07-14T05:30:44.841342
010_flow_ensemble_tta,flow_ensemble_tta,protocol_v1,0-fold,dev,True,0.6951297518690003,0.716025974025974,0.6666666666666666,0,0,246,r2plus1d_18,rgb,112.0,16.0,0.0001,42.0,25.0,17595.0,
