name,time,UF1,UAR,ACC,n_folds,backbone,T,img_size,input_mode,epochs,lr,elapsed_sec,index,num_classes
smoke_smoke,2026-07-13T17:30:20.512519,0.1476,0.2333,0.1364,2,r2plus1d_18,16,112,rgb,3,0.0001,59.6,cache/index_emotion.csv,5
iter_01,2026-07-13T19:13:29.999199,0.3005,0.3374,0.3293,26,r2plus1d_18,16,112,rgb,25,0.0001,6153.1,cache/index_emotion.csv,5
iter_02,2026-07-13T20:57:37.747964,0.5939,0.6044,0.5691,26,r2plus1d_18,16,112,onset_ref,22,0.0001,6155.3,cache/index_emotion.csv,5
iter_03,2026-07-13T22:30:41.614667,0.6601,0.6753,0.6382,26,r2plus1d_18,16,112,rgb,25,0.0001,5550.3,cache/index_emotion.csv,5
smoke_2stream_smoke,2026-07-13T22:36:28.156173,0.486,0.54,0.4545,2,r2plus1d_18,16,112,rgb,3,0.0001,120.8,cache/index_emotion.csv,5
iter_04,2026-07-14T01:59:15.776057,0.639,0.6587,0.626,26,r2plus1d_18,16,112,rgb,25,0.0001,12071.4,cache/index_emotion.csv,5
iter_05,2026-07-14T03:37:30.074548,0.3581,0.3587,0.435,26,r2plus1d_18,16,112,rgb,25,0.0001,5705.1,cache/index_emotion.csv,5
iter_06,2026-07-14T05:27:34.899109,0.3317,0.3421,0.4268,26,r2plus1d_18,16,112,rgb,28,0.0001,6525.4,cache/index_emotion.csv,5
smoke_tta_smoke,2026-07-14T05:30:44.841342,0.4581,0.62,0.4545,2,r2plus1d_18,16,112,rgb,6,0.0001,110.7,cache/index_emotion.csv,5
iter_07,2026-07-14T10:24:35.821108,0.6951,0.716,0.6667,26,r2plus1d_18,16,112,ens_flow,25,0.0001,17595.0,cache/index_emotion.csv,5
    iter_08,2026-07-14T13:07:55.965459,0.6711,0.6924,0.6423,26,r2plus1d_18,24,112,rgb,25,0.0001,9740.1,cache/index_emotion.csv,5
iter_09,2026-07-14T15:24:25.198757,0.6908,0.6964,0.6748,26,r2plus1d_18,16,128,rgb,25,0.0001,8124.4,cache/index_emotion.csv,5
iter_10,2026-07-14T22:05:51.083094,0.7076,0.7212,0.6748,26,r2plus1d_18,16,128,ens_flow,25,0.0001,24034.3,cache/index_emotion.csv,5
iter_11_objective,2026-07-14T23:47:10.086991,0.2019,0.2919,0.1059,26,r2plus1d_18,16,112,rgb,25,0.0001,6042.7,cache/index_objective.csv,7
iter_12_strain,2026-07-15T02:00:38.367231,0.6918,0.6923,0.6707,26,r2plus1d_18,16,128,rgb,25,0.0001,7979.4,cache/index_emotion.csv,5
iter_13_4ch,2026-07-15T11:53:42.496234,0.6737,0.6736,0.6463,26,r2plus1d_18,16,128,rgb,25,0.0001,9348.1,cache/index_emotion.csv,5
iter_14_r3d,2026-07-15T13:58:48.939763,0.7145,0.7207,0.687,26,r3d_18,16,128,rgb,25,0.0001,7429.5,cache/index_emotion.csv,5
iter_15_mag5,2026-07-15T16:02:26.616883,0.682,0.7073,0.6748,26,r2plus1d_18,16,112,rgb,25,0.0001,7352.3,cache/index_emotion.csv,5
iter_16_mag_r3d,2026-07-15T17:54:18.424999,0.6826,0.7102,0.6585,26,r3d_18,16,128,rgb,25,0.0001,6648.5,cache/index_emotion.csv,5
iter_17_mc3,2026-07-15T19:46:21.072524,0.699,0.7199,0.6748,26,mc3_18,16,128,rgb,25,0.0001,6669.5,cache/index_emotion.csv,5
smoke_focal_smoke,2026-07-15T19:48:14.397636,0.5414,0.6,0.5455,2,r3d_18,16,128,rgb,4,0.0001,83.3,cache/index_emotion.csv,5
iter_18_focal,2026-07-15T21:31:20.381783,0.6919,0.7026,0.6789,26,r3d_18,16,128,rgb,25,0.0001,6170.4,cache/index_emotion.csv,5
apex_ststnet_smoke,2026-07-15T21:35:06.168334,0.2056,0.23,0.2069,3,ststnet,1,64,apex_flow,60,0.001,45.3,cache/index_emotion.csv,5
apex_shallowcnn_smoke,2026-07-15T21:36:46.493058,0.504,0.5133,0.5517,3,shallowcnn,1,64,apex_flow,80,0.001,61.8,cache/index_emotion.csv,5
apex_shallowcnn,2026-07-15T21:44:56.949686,0.5455,0.5679,0.5203,26,shallowcnn,1,64,apex_flow,80,0.001,458.7,cache/index_emotion.csv,5
iter_14_r3d_s123,2026-07-15T23:41:00.692305,0.6718,0.6849,0.6463,26,r3d_18,16,128,rgb,25,0.0001,5996.7,cache/index_emotion.csv,5
twostage_iter_14_r3d_smoke,2026-07-16T00:05:39.478732,0.5708,0.58,0.6552,3,r3d_18,16,128,twostage,25,0.0001,1102.7,cache/index_emotion.csv,5
iter_19_mixup,2026-07-16T01:46:34.417903,0.6669,0.6944,0.6463,26,r3d_18,16,128,rgb,25,0.0001,5969.5,cache/index_emotion.csv,5
obj6_r3d,2026-07-16T03:50:39.244921,0.5574,0.5599,0.6772,26,r3d_18,16,128,rgb,25,0.0001,6001.1,cache/index_objective.csv,6
obj6_mc3,2026-07-16T05:35:19.858094,0.5489,0.5524,0.6693,26,mc3_18,16,128,rgb,25,0.0001,6213.4,cache/index_objective.csv,6
obj6_focal,2026-07-16T07:17:54.883165,0.4907,0.4916,0.6299,26,r3d_18,16,128,rgb,25,0.0001,6147.4,cache/index_objective.csv,6
obj6_4ch,2026-07-16T09:55:18.250182,0.5358,0.546,0.6535,26,r2plus1d_18,16,128,rgb,25,0.0001,9435.4,cache/index_objective.csv,6
iter_20_ema_smoke,2026-07-16T14:54:59.609406,0.5655,0.62,0.5909,2,r3d_18,16,128,rgb,25,0.0001,512.8,cache/index_emotion.csv,5
iter_20_ema,2026-07-16T16:36:55.008619,0.7094,0.731,0.6829,26,r3d_18,16,128,rgb,25,0.0001,6091.9,cache/index_emotion.csv,5
iter_21_freezebn,2026-07-16T18:22:06.622204,0.5978,0.6187,0.5732,26,r3d_18,16,128,rgb,25,0.0001,6266.7,cache/index_emotion.csv,5
