fold,subject,n_test,acc,sec
0,1,9,0.1111111111111111,233.5
1,2,13,0.38461538461538464,232.0
2,3,7,0.42857142857142855,233.3
3,4,5,0.6,238.1
4,5,19,0.2631578947368421,222.2
5,6,5,0.4,235.9
6,7,9,0.2222222222222222,242.8
7,8,3,0.6666666666666666,254.3
8,9,13,0.07692307692307693,252.5
9,10,13,0.5384615384615384,242.1
10,11,10,0.5,234.6
11,12,12,0.25,231.2
12,13,8,0.0,234.5
13,14,4,0.75,239.6
14,15,3,0.3333333333333333,240.8
15,16,4,0.5,245.1
16,17,34,0.3235294117647059,217.0
17,18,3,0.3333333333333333,248.9
18,19,15,0.26666666666666666,231.0
19,20,11,0.5454545454545454,234.7
20,21,2,0.5,243.0
21,22,2,1.0,240.2
22,23,12,0.4166666666666667,229.3
23,24,7,0.2857142857142857,238.6
24,25,7,0.14285714285714285,232.8
25,26,16,0.1875,224.1
