fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,217.3
1,2,13,0.5384615384615384,211.4
2,3,7,0.7142857142857143,213.7
3,4,5,1.0,216.2
4,5,19,0.42105263157894735,209.2
5,6,5,0.8,214.9
6,7,9,0.3333333333333333,212.6
7,8,3,0.6666666666666666,216.0
8,9,13,0.8461538461538461,210.7
9,10,13,0.8461538461538461,210.8
10,11,10,0.7,211.7
11,12,12,0.9166666666666666,211.3
12,13,8,0.75,213.1
13,14,4,0.5,215.6
14,15,3,0.3333333333333333,217.1
15,16,4,0.5,215.6
16,17,34,0.5588235294117647,200.0
17,18,3,1.0,216.3
18,19,15,0.7333333333333333,209.0
19,20,11,0.5454545454545454,212.2
20,21,2,0.5,216.2
21,22,2,1.0,217.2
22,23,12,0.75,211.4
23,24,7,0.5714285714285714,214.3
24,25,7,0.7142857142857143,214.0
25,26,16,0.375,221.7
