fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,220.2
1,2,13,0.15384615384615385,222.2
2,3,7,0.5714285714285714,221.5
3,4,5,0.6,224.0
4,5,19,0.3157894736842105,222.9
5,6,5,0.4,218.8
6,7,9,0.5555555555555556,217.3
7,8,3,0.6666666666666666,219.8
8,9,13,0.23076923076923078,216.6
9,10,13,1.0,217.0
10,11,10,0.6,217.1
11,12,12,0.3333333333333333,219.3
12,13,8,0.625,218.1
13,14,4,0.75,217.8
14,15,3,0.3333333333333333,218.4
15,16,4,0.5,217.8
16,17,34,0.11764705882352941,214.4
17,18,3,1.0,218.2
18,19,15,0.4666666666666667,223.1
19,20,11,0.8181818181818182,224.1
20,21,2,0.0,217.8
21,22,2,1.0,217.9
22,23,12,0.3333333333333333,223.8
23,24,7,0.42857142857142855,223.5
24,25,7,0.2857142857142857,216.9
25,26,16,0.375,215.6
