fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,250.4
1,2,13,0.15384615384615385,250.4
2,3,7,0.5714285714285714,249.7
3,4,5,0.8,250.6
4,5,19,0.42105263157894735,250.2
5,6,5,0.6,251.4
6,7,9,0.5555555555555556,250.0
7,8,3,0.0,250.8
8,9,13,0.3076923076923077,251.5
9,10,13,1.0,250.6
10,11,10,0.6,252.7
11,12,12,0.3333333333333333,243.8
12,13,8,0.75,251.0
13,14,4,0.75,251.6
14,15,3,0.3333333333333333,251.9
15,16,4,0.25,252.5
16,17,34,0.08823529411764706,252.0
17,18,3,1.0,252.0
18,19,15,0.2,251.4
19,20,11,0.8181818181818182,252.0
20,21,2,0.0,251.3
21,22,2,1.0,251.7
22,23,12,0.25,251.8
23,24,7,0.5714285714285714,250.8
24,25,7,0.2857142857142857,251.1
25,26,16,0.375,251.2
