fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,397.0
1,2,13,0.6153846153846154,397.3
2,3,7,0.42857142857142855,436.4
3,4,5,0.8,412.4
4,5,19,0.47368421052631576,408.4
5,6,5,0.8,438.0
6,7,9,0.5555555555555556,417.0
7,8,3,0.3333333333333333,390.9
8,9,13,0.6923076923076923,378.1
9,10,13,0.8461538461538461,369.8
10,11,10,0.8,373.5
11,12,12,0.9166666666666666,367.3
12,13,8,0.75,359.6
13,14,4,0.25,361.1
14,15,3,0.6666666666666666,359.5
15,16,4,0.5,355.0
16,17,34,0.6470588235294118,337.7
17,18,3,0.6666666666666666,350.0
18,19,15,0.6666666666666666,345.9
19,20,11,0.5454545454545454,349.2
20,21,2,0.5,350.2
21,22,2,1.0,350.3
22,23,12,0.9166666666666666,346.2
23,24,7,0.5714285714285714,348.4
24,25,7,0.7142857142857143,368.2
25,26,16,0.25,370.2
