fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,324.5
1,2,13,0.5384615384615384,316.2
2,3,7,0.5714285714285714,317.0
3,4,5,0.8,318.5
4,5,19,0.47368421052631576,305.7
5,6,5,0.6,311.4
6,7,9,0.6666666666666666,308.9
7,8,3,0.6666666666666666,311.1
8,9,13,0.6923076923076923,308.8
9,10,13,0.8461538461538461,309.4
10,11,10,0.9,311.1
11,12,12,0.9166666666666666,310.1
12,13,8,1.0,313.0
13,14,4,0.5,314.3
14,15,3,0.3333333333333333,314.2
15,16,4,0.25,316.1
16,17,34,0.5882352941176471,303.1
17,18,3,1.0,314.7
18,19,15,0.8,310.2
19,20,11,0.6363636363636364,313.9
20,21,2,0.5,315.4
21,22,2,1.0,316.6
22,23,12,0.9166666666666666,309.4
23,24,7,0.5714285714285714,310.9
24,25,7,0.7142857142857143,311.1
25,26,16,0.375,307.7
