fold,subject,n_test,acc,sec
0,1,9,1.0,364.0
1,2,13,0.5384615384615384,363.2
2,3,7,0.5714285714285714,369.4
3,4,5,0.8,358.8
4,5,19,0.5789473684210527,365.3
5,6,5,0.8,358.5
6,7,9,0.5555555555555556,343.3
7,8,3,0.6666666666666666,344.9
8,9,13,0.7692307692307693,342.4
9,10,13,1.0,341.4
10,11,10,0.9,342.4
11,12,12,0.8333333333333334,341.9
12,13,8,0.5,342.9
13,14,4,0.25,345.7
14,15,3,0.6666666666666666,345.1
15,16,4,0.5,345.4
16,17,34,0.4117647058823529,339.3
17,18,3,1.0,349.9
18,19,15,0.8,335.1
19,20,11,0.45454545454545453,355.7
20,21,2,0.5,341.4
21,22,2,1.0,353.3
22,23,12,0.9166666666666666,425.8
23,24,7,0.5714285714285714,425.4
24,25,7,0.5714285714285714,402.5
25,26,16,0.375,402.6
