fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,234.4
1,2,13,0.6923076923076923,237.1
2,3,7,0.5714285714285714,246.2
3,4,5,0.8,244.8
4,5,19,0.5263157894736842,263.6
5,6,5,0.8,244.0
6,7,9,0.3333333333333333,246.3
7,8,3,0.0,257.0
8,9,13,0.8461538461538461,239.9
9,10,13,0.8461538461538461,327.5
10,11,10,0.8,281.4
11,12,12,0.75,262.9
12,13,8,0.875,264.9
13,14,4,0.5,263.4
14,15,3,1.0,258.8
15,16,4,0.75,268.6
16,17,34,0.5588235294117647,265.2
17,18,3,1.0,253.4
18,19,15,0.6666666666666666,247.2
19,20,11,0.45454545454545453,258.9
20,21,2,0.5,247.8
21,22,2,1.0,244.9
22,23,12,0.9166666666666666,246.7
23,24,7,0.7142857142857143,251.0
24,25,7,0.5714285714285714,244.3
25,26,16,0.5,246.9
