fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,260.3
1,2,13,0.46153846153846156,267.2
2,3,7,0.42857142857142855,268.1
3,4,5,1.0,262.4
4,5,19,0.47368421052631576,263.4
5,6,5,0.8,258.5
6,7,9,0.6666666666666666,241.8
7,8,3,0.6666666666666666,242.2
8,9,13,0.6923076923076923,241.4
9,10,13,0.7692307692307693,272.8
10,11,10,0.8,264.4
11,12,12,0.8333333333333334,254.2
12,13,8,0.875,252.3
13,14,4,0.25,251.0
14,15,3,0.6666666666666666,253.8
15,16,4,0.75,253.6
16,17,34,0.6764705882352942,249.8
17,18,3,0.6666666666666666,255.1
18,19,15,0.6666666666666666,255.6
19,20,11,0.6363636363636364,252.8
20,21,2,0.5,252.7
21,22,2,1.0,255.1
22,23,12,1.0,262.1
23,24,7,0.5714285714285714,262.1
24,25,7,0.7142857142857143,265.5
25,26,16,0.5,248.3
