fold,subject,n_test,acc,sec
0,1,9,0.5555555555555556,227.5
1,2,13,0.46153846153846156,228.8
2,3,7,0.42857142857142855,230.0
3,4,5,1.0,231.1
4,5,19,0.47368421052631576,228.2
5,6,5,0.6,229.4
6,7,9,0.5555555555555556,229.5
7,8,3,0.3333333333333333,229.5
8,9,13,0.7692307692307693,228.5
9,10,13,0.8461538461538461,228.8
10,11,10,0.8,230.4
11,12,12,0.9166666666666666,230.2
12,13,8,0.75,230.0
13,14,4,0.25,230.6
14,15,3,1.0,229.9
15,16,4,0.5,229.9
16,17,34,0.6470588235294118,226.8
17,18,3,0.6666666666666666,230.5
18,19,15,0.6666666666666666,229.2
19,20,11,0.6363636363636364,229.7
20,21,2,0.5,230.5
21,22,2,1.0,230.3
22,23,12,0.9166666666666666,230.0
23,24,7,0.7142857142857143,230.7
24,25,7,0.5714285714285714,229.6
25,26,16,0.375,228.7
