fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,233.6
1,2,13,0.5384615384615384,234.3
2,3,7,0.42857142857142855,234.2
3,4,5,0.6,234.6
4,5,19,0.631578947368421,233.0
5,6,5,0.6,234.6
6,7,9,0.3333333333333333,234.8
7,8,3,0.6666666666666666,235.6
8,9,13,0.6153846153846154,234.9
9,10,14,1.0,234.2
10,11,10,0.7,235.5
11,12,12,0.5,236.7
12,13,8,0.875,236.7
13,14,4,0.5,237.2
14,15,3,0.3333333333333333,237.6
15,16,4,0.5,238.0
16,17,36,0.6944444444444444,235.4
17,18,3,1.0,238.6
18,19,16,0.375,237.3
19,20,11,0.7272727272727273,237.8
20,21,2,0.5,238.7
21,22,2,1.0,238.9
22,23,12,0.5833333333333334,237.2
23,24,10,0.5,237.8
24,25,7,0.5714285714285714,238.0
25,26,17,0.7647058823529411,240.9
