fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,351.4
1,2,13,0.5384615384615384,349.4
2,3,7,0.14285714285714285,350.0
3,4,5,0.4,351.9
4,5,19,0.5789473684210527,347.6
5,6,5,0.4,351.8
6,7,9,0.4444444444444444,353.2
7,8,3,0.6666666666666666,366.2
8,9,13,0.7692307692307693,375.9
9,10,14,1.0,359.4
10,11,10,0.8,383.8
11,12,12,0.6666666666666666,371.4
12,13,8,0.75,364.7
13,14,4,0.5,370.1
14,15,3,0.3333333333333333,392.6
15,16,4,0.5,368.0
16,17,36,0.6944444444444444,358.7
17,18,3,1.0,363.7
18,19,16,0.5,361.9
19,20,11,0.7272727272727273,361.9
20,21,2,0.5,364.7
21,22,2,1.0,365.0
22,23,12,0.8333333333333334,363.0
23,24,10,0.5,362.6
24,25,7,0.5714285714285714,364.8
25,26,17,0.7058823529411765,360.6
