fold,subject,n_test,acc,sec
0,1,9,0.8888888888888888,182.2
1,2,13,0.46153846153846156,270.4
2,3,7,0.42857142857142855,257.1
3,4,5,1.0,246.1
4,5,19,0.47368421052631576,270.8
5,6,5,0.6,272.2
6,7,9,0.4444444444444444,273.6
7,8,3,0.6666666666666666,270.7
8,9,13,0.8461538461538461,270.6
9,10,13,0.7692307692307693,271.1
10,11,10,0.8,268.2
11,12,12,0.8333333333333334,263.9
12,13,8,0.75,255.5
13,14,4,0.75,242.2
14,15,3,0.6666666666666666,262.7
15,16,4,0.25,165.4
16,17,34,0.7058823529411765,165.3
17,18,3,1.0,166.1
18,19,15,0.8,155.3
19,20,11,0.5454545454545454,150.9
20,21,2,0.5,151.1
21,22,2,1.0,162.9
22,23,12,0.8333333333333334,156.0
23,24,7,0.5714285714285714,154.6
24,25,7,0.5714285714285714,162.1
25,26,16,0.1875,168.4
