fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,392.2
1,2,13,0.6153846153846154,384.5
2,3,7,0.7142857142857143,371.1
3,4,5,0.8,397.5
4,5,19,0.5263157894736842,446.3
5,6,5,0.6,433.3
6,7,9,0.5555555555555556,436.9
7,8,3,0.6666666666666666,437.9
8,9,13,0.6923076923076923,448.5
9,10,13,1.0,428.3
10,11,10,0.8,382.5
11,12,12,0.8333333333333334,358.6
12,13,8,0.75,359.5
13,14,4,0.25,358.8
14,15,3,0.6666666666666666,357.1
15,16,4,0.5,356.4
16,17,34,0.4411764705882353,351.5
17,18,3,0.6666666666666666,357.8
18,19,15,0.6666666666666666,359.4
19,20,11,0.5454545454545454,360.1
20,21,2,0.5,359.4
21,22,2,1.0,357.5
22,23,12,0.8333333333333334,361.5
23,24,7,0.7142857142857143,357.3
24,25,7,0.42857142857142855,353.0
25,26,16,0.4375,351.9
