fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,368.8
1,2,13,0.6153846153846154,355.1
2,3,7,0.7142857142857143,355.1
3,4,5,0.6,356.6
4,5,19,0.5263157894736842,353.9
5,6,5,0.6,355.8
6,7,9,0.4444444444444444,363.3
7,8,3,0.6666666666666666,371.0
8,9,13,0.7692307692307693,370.5
9,10,13,0.9230769230769231,368.0
10,11,10,0.9,355.7
11,12,12,0.9166666666666666,354.7
12,13,8,0.875,355.2
13,14,4,0.5,356.2
14,15,3,0.6666666666666666,362.7
15,16,4,0.5,371.5
16,17,34,0.5,369.8
17,18,3,0.6666666666666666,371.6
18,19,15,0.8666666666666667,369.1
19,20,11,0.8181818181818182,367.6
20,21,2,0.5,368.2
21,22,2,1.0,372.4
22,23,12,1.0,368.4
23,24,7,0.5714285714285714,368.6
24,25,7,0.5714285714285714,367.1
25,26,16,0.25,356.0
