fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,235.9
1,2,13,0.5384615384615384,236.0
2,3,7,0.8571428571428571,237.2
3,4,5,0.6,235.2
4,5,19,0.47368421052631576,233.4
5,6,5,0.6,236.3
6,7,9,0.5555555555555556,237.0
7,8,3,0.6666666666666666,236.4
8,9,13,0.8461538461538461,233.6
9,10,13,0.9230769230769231,236.5
10,11,10,0.8,237.6
11,12,12,0.8333333333333334,237.9
12,13,8,0.75,236.9
13,14,4,0.5,238.4
14,15,3,1.0,235.8
15,16,4,0.5,236.5
16,17,34,0.5882352941176471,231.8
17,18,3,0.6666666666666666,234.3
18,19,15,0.6666666666666666,236.2
19,20,11,0.7272727272727273,236.0
20,21,2,0.5,237.1
21,22,2,1.0,238.1
22,23,12,0.9166666666666666,236.2
23,24,7,0.7142857142857143,237.4
24,25,7,0.5714285714285714,236.7
25,26,16,0.4375,234.6
