fold,subject,n_test,acc,sec
0,1,9,0.7777777777777778,230.0
1,2,13,0.6153846153846154,227.9
2,3,7,0.8571428571428571,229.3
3,4,5,0.6,231.3
4,5,19,0.47368421052631576,234.9
5,6,5,0.8,231.9
6,7,9,0.6666666666666666,229.0
7,8,3,0.6666666666666666,229.1
8,9,13,0.6153846153846154,228.8
9,10,13,0.9230769230769231,230.4
10,11,10,0.9,235.7
11,12,12,0.9166666666666666,233.5
12,13,8,0.875,228.7
13,14,4,0.5,228.3
14,15,3,1.0,228.8
15,16,4,0.5,235.6
16,17,34,0.4411764705882353,232.8
17,18,3,0.6666666666666666,230.1
18,19,15,0.6666666666666666,232.8
19,20,11,0.7272727272727273,228.8
20,21,2,0.5,232.0
21,22,2,1.0,236.3
22,23,12,1.0,236.6
23,24,7,0.7142857142857143,236.9
24,25,7,0.7142857142857143,244.9
25,26,16,0.4375,239.7
