fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,197.9
1,2,13,0.46153846153846156,200.9
2,3,7,0.42857142857142855,198.9
3,4,5,0.6,199.7
4,5,19,0.2631578947368421,198.1
5,6,5,0.6,200.1
6,7,9,0.6666666666666666,199.1
7,8,3,0.0,199.7
8,9,13,0.7692307692307693,199.6
9,10,13,0.7692307692307693,198.3
10,11,10,0.5,199.8
11,12,12,0.75,197.8
12,13,8,0.5,199.3
13,14,4,0.75,198.7
14,15,3,0.6666666666666666,200.3
15,16,4,0.5,199.1
16,17,34,0.4411764705882353,194.0
17,18,3,0.3333333333333333,192.7
18,19,15,0.6,191.4
19,20,11,0.45454545454545453,191.4
20,21,2,0.5,189.3
21,22,2,1.0,190.3
22,23,12,0.6666666666666666,188.1
23,24,7,0.5714285714285714,189.7
24,25,7,1.0,188.3
25,26,16,0.5625,189.3
