fold,subject,n_test,acc,sec
0,1,9,0.4444444444444444,233.9
1,2,13,0.5384615384615384,233.2
2,3,7,0.42857142857142855,235.6
3,4,5,0.6,235.3
4,5,19,0.47368421052631576,233.4
5,6,5,0.6,235.1
6,7,9,0.4444444444444444,234.4
7,8,3,0.3333333333333333,235.5
8,9,13,0.7692307692307693,235.3
9,10,13,0.9230769230769231,233.4
10,11,10,0.7,233.4
11,12,12,0.6666666666666666,234.2
12,13,8,0.625,234.0
13,14,4,0.25,234.4
14,15,3,0.3333333333333333,233.3
15,16,4,0.5,234.9
16,17,34,0.5294117647058824,232.8
17,18,3,0.3333333333333333,233.7
18,19,15,0.5333333333333333,233.9
19,20,11,0.5454545454545454,234.4
20,21,2,0.5,234.9
21,22,2,1.0,234.1
22,23,12,0.6666666666666666,233.8
23,24,7,0.7142857142857143,233.2
24,25,7,0.7142857142857143,233.7
25,26,16,0.5625,233.9
