fold,subject,n_test,acc,sec
0,1,9,0.4444444444444444,192.2
1,2,13,0.46153846153846156,186.7
2,3,7,0.42857142857142855,185.9
3,4,5,1.0,187.0
4,5,19,0.42105263157894735,185.0
5,6,5,0.8,187.8
6,7,9,0.5555555555555556,186.7
7,8,3,0.0,186.6
8,9,13,0.7692307692307693,185.5
9,10,13,0.7692307692307693,186.1
10,11,10,0.6,187.9
11,12,12,0.75,185.7
12,13,8,0.625,186.9
13,14,4,0.5,185.9
14,15,3,0.3333333333333333,186.4
15,16,4,0.5,186.1
16,17,34,0.4411764705882353,185.9
17,18,3,0.3333333333333333,186.2
18,19,15,0.5333333333333333,186.3
19,20,11,0.36363636363636365,185.0
20,21,2,0.5,186.9
21,22,2,1.0,185.3
22,23,12,0.6666666666666666,185.3
23,24,7,0.5714285714285714,185.0
24,25,7,0.8571428571428571,186.3
25,26,16,0.5,185.6
