fold,subject,n_test,acc,sec
0,1,9,0.6666666666666666,337.2
1,2,13,0.6153846153846154,334.9
2,3,7,0.5714285714285714,336.9
3,4,5,0.6,333.6
4,5,19,0.42105263157894735,330.0
5,6,5,0.4,397.8
6,7,9,0.5555555555555556,434.9
7,8,3,0.3333333333333333,414.2
8,9,13,0.6153846153846154,407.6
9,10,13,0.7692307692307693,383.1
10,11,10,0.6,333.0
11,12,12,0.75,356.8
12,13,8,0.625,333.8
13,14,4,0.25,334.9
14,15,3,0.3333333333333333,334.6
15,16,4,0.5,344.3
16,17,34,0.47058823529411764,325.6
17,18,3,0.3333333333333333,345.6
18,19,15,0.5333333333333333,326.2
19,20,11,0.5454545454545454,327.6
20,21,2,0.0,330.6
21,22,2,1.0,331.7
22,23,12,0.4166666666666667,327.8
23,24,7,0.5714285714285714,328.9
24,25,7,1.0,328.9
25,26,16,0.5625,325.8
